Id,X,Y,Z,Type,Error
132,62463.67391,93627.66266,8087.479919,1,0
133,70376.7427,42097.49574,4598.35887,0,0
134,63473.21253,94115.36884,4386.055108,0,0
135,75682.16946,98843.73366,1960.755611,0,0
136,25055.5538,54639.52679,6658.181328,1,1
137,61625.79703,41048.03146,9124.499046,1,1
138,12676.61875,93971.81428,4685.085381,0,0
139,10739.53317,97177.175,2398.908503,0,0
140,98606.40523,21117.21834,4099.794942,1,0
141,77237.69725,53412.34837,5014.652991,0,1
142,52285.3363,55032.53737,9985.549528,1,0
143,31967.94875,74307.97736,6995.508744,0,0
144,76997.29785,36710.42702,7146.167674,1,0
145,4125.281226,62783.4006,4165.077411,0,1
146,12845.96361,10396.17863,347.4835524,1,0
147,40987.99777,4828.270735,6748.136331,0,0
148,38639.12096,52468.63806,5022.407337,1,0
149,76987.79716,31929.86647,8722.039528,0,0
150,66337.46528,26735.38878,3629.992232,0,0
151,32595.01941,61803.73072,6448.291575,0,0
152,16889.20022,23123.39935,4522.450466,1,0
153,62538.52943,31684.38199,921.8540743,1,0
154,53691.84814,82431.05255,1119.861675,1,0
155,43177.80885,55910.01625,5348.503345,0,0
156,91927.35918,70426.4602,702.9873183,1,0
157,51445.51954,14811.8438,953.83532,1,0
158,87644.48904,7963.487492,116.4746078,1,0
159,30716.94257,63299.68186,9990.938486,0,0
160,57011.85796,23745.69306,8001.912581,1,0
161,80135.6466,83770.02977,2090.68704,0,0
162,17694.48696,38016.2365,2354.95948,0,1
163,17968.58971,68227.91037,1607.205407,0,1
164,55926.00537,95579.08121,7046.266429,0,0
165,25370.72675,37771.34086,2360.07858,0,1
166,69899.81432,55457.20433,1785.701241,1,1
167,31506.72518,66477.75842,2949.857868,0,0
168,69937.56608,8993.160943,2032.412976,1,0
169,36857.06725,21637.4385,1426.599615,0,0
170,39684.07669,56894.40825,6550.473818,1,0
171,46505.46376,37606.64677,9314.985825,0,1
172,68965.81335,56298.63495,7240.996188,0,1
173,62259.75491,27900.15978,7196.495297,0,0
174,97005.46104,24261.98744,8796.989264,1,0
175,54752.31404,93041.75181,5783.003294,0,1
176,11479.95702,69984.08771,358.5878821,0,1
177,30561.77272,13469.95699,9242.859147,1,0
178,2463.612841,83175.32835,3716.198298,1,0
179,93096.05024,11678.20246,1432.263496,0,0
180,4993.77996,42213.2599,5088.653107,0,1
181,77751.02768,77714.16473,1306.003692,0,0
182,85287.89628,39310.25372,2324.200828,0,0
183,44139.68569,62558.04978,2660.04247,1,0
184,82117.35241,31308.14,2883.981203,0,1
185,71301.60709,96328.44413,3762.431018,1,0
186,65026.02396,40820.62491,1413.376614,1,0
187,90585.2544,30234.81505,1399.732401,0,0
188,55871.74498,7770.986969,5112.38508,1,0
189,61361.09246,90734.78436,9304.069781,1,0
190,35080.92842,90461.14548,3842.428974,0,0
191,58072.22789,24316.4728,2243.122388,0,0
192,39274.21214,32698.89487,9177.865355,1,0
193,48636.48807,63754.13391,2079.649575,0,0
194,57582.37927,64320.57203,3868.125044,0,0
195,83273.30619,75412.6553,4415.856951,0,0
196,74268.97208,89535.37166,2483.889736,0,0
197,90529.59446,7597.926765,6061.454853,0,0
198,61702.4691,47818.74507,6619.770699,0,0
199,23842.03079,47349.11285,9532.73861,1,1
200,12142.22059,56740.42327,3733.393656,0,1
201,59973.02979,89424.78284,4003.434948,1,1
202,3243.688808,38498.01544,7139.205212,0,1
203,33515.58309,95223.45195,9963.716821,1,1
204,92952.62699,69907.92068,7609.379153,1,0
205,1243.644696,39083.64694,1035.180398,0,1
206,61417.90689,50569.78285,5447.067282,0,1
207,50743.42397,78895.82383,9701.879103,0,0
208,17931.44109,4986.198853,3647.03964,0,0
209,47466.18417,10918.55974,7406.477293,1,0
210,21122.82293,54575.93195,9545.750273,0,1
211,6856.520193,37901.72087,6805.806179,1,1
212,30581.89563,17649.52506,456.4453663,0,0
213,59026.89189,10951.47577,6610.472342,1,0
214,74420.35381,55887.8913,5362.745205,0,0
215,34875.39035,41542.88653,3425.814946,1,1
216,16796.51735,9055.846079,9188.463107,1,0
217,19813.0717,70551.98469,8696.57874,1,1
218,39588.64791,66628.53213,6019.309255,0,0
219,98070.94934,89959.50022,2643.160213,0,0
220,80994.71328,26127.30168,3214.389613,1,0
221,29834.24829,930.9316262,8656.039674,1,0
222,24180.63327,2429.42347,9486.184454,1,0
223,5374.520346,11274.63449,430.2027364,0,1
224,31112.21405,193.4218003,4205.515591,0,0
225,73156.96688,74501.08949,708.0289074,1,0
226,80651.11363,88997.7666,379.1819425,0,0
227,63778.24313,83147.09132,4360.157872,1,0
228,51199.01096,3590.076441,9494.947598,0,0
229,90038.36703,88211.82886,7634.767956,0,0
230,88135.71697,70963.65491,7582.545519,0,0
231,4293.755276,81072.53973,36.02299905,1,0
232,37645.64783,2724.548859,1174.870259,0,0
233,42619.51267,61845.60279,5896.482949,0,0
234,32233.74934,31969.12698,8232.03641,0,1
235,12950.83163,8167.881665,9248.641632,0,0
236,57896.09546,86749.74116,6878.841563,1,0
237,32310.29597,58618.77471,5213.963722,1,1
238,17195.81395,31496.71598,4536.460457,0,1
239,30199.77987,52316.30257,6220.404625,1,1
240,98440.76989,45241.20614,7457.037695,1,0
241,52176.3093,83591.16426,4067.368836,0,0
242,57444.73363,92423.42824,162.7392711,0,0
243,77480.52714,6449.551706,9995.804641,0,1
244,40926.31621,44081.40928,1511.787633,0,0
245,61909.35222,69819.55944,145.1598662,0,0
246,27724.59798,6298.264324,216.6095756,1,0
247,73372.75482,25581.05918,424.4513918,0,0
248,80615.35145,61875.60118,4762.594376,0,0
249,12603.32324,78841.56135,8424.114574,0,0
250,60551.54847,55058.85208,9070.13323,0,0
251,63076.27113,82058.21472,5109.560043,1,0
252,816.2106207,7567.037513,4001.903107,1,0
253,31744.22192,69688.05591,5737.873082,1,0
254,98358.26663,61148.94036,6423.604315,1,0
255,31399.78588,19033.08857,4801.538407,1,0
256,29288.42205,87794.26742,3048.741808,0,0
257,37314.25356,5468.335193,9182.305315,1,1
258,82967.02953,25385.31952,9635.190761,1,1
259,6560.934783,82084.24984,4459.276205,0,0
260,24260.95235,17811.56168,1801.182655,0,0
261,88293.98032,71939.33293,3225.815037,1,0
262,69376.98827,64189.39508,759.2111363,0,0
263,57180.77007,82092.14084,2436.313752,0,0
264,59545.05914,13390.95297,969.6866038,0,0
265,57631.84081,67533.96021,7346.423888,1,0
266,89394.08332,37312.37624,4595.153335,1,0
267,34300.96101,71094.35554,5202.702744,1,0
268,82274.88311,28685.3432,640.433207,0,0
269,80482.77331,88542.25,6644.007662,1,0
270,62841.37318,89724.47612,6334.232535,1,0
271,50460.23145,22606.74222,8389.458838,0,0
272,76369.7052,28851.82663,487.1844544,0,0
273,77354.57508,48071.31386,8603.733088,0,0
274,8372.450204,63637.56709,8138.439218,1,1
275,12420.48882,75217.17366,2538.834069,1,0
276,91727.31292,43766.84437,1385.017111,1,0
277,84622.62536,54843.03198,7807.490393,0,0
278,50065.13654,56062.45497,5606.54915,0,0
279,8618.105426,45578.11296,745.8745897,1,1
280,87842.38679,94633.23405,3160.889484,0,0
281,12288.7307,98760.41347,8021.945239,1,0
282,45591.77518,61669.89846,6431.026606,0,0
283,98776.89741,25796.63476,1979.609489,0,0
284,69129.15026,42027.76864,6420.531413,1,0
285,10071.53968,42654.55883,9807.517852,1,1
286,75951.60774,62797.79017,4344.072261,0,0
287,77406.11042,88536.83474,2477.043704,1,0
288,58196.77435,67621.58034,5278.055614,1,1
289,20023.05662,16713.05859,1062.474776,1,0
290,18128.05171,72642.80722,7451.282003,0,0
291,9360.965985,35467.07145,9888.286141,0,1
292,79844.39995,22731.78413,5668.764751,1,0
293,24954.93076,12245.50914,8617.559937,0,1
294,21191.77293,57198.47545,6851.284192,0,1
295,95727.33018,86232.95405,6399.805209,1,0
296,49849.73644,89673.63196,7264.643741,1,0
297,55990.49777,90459.64637,6941.201917,0,0
298,12994.20646,42417.92734,7752.607399,1,1
299,86675.58244,94222.97319,1248.647511,1,0
300,14785.76834,9141.667837,8412.58536,1,0
301,77531.43566,89011.65548,6519.872975,0,0
302,93832.62773,59556.16011,4051.796072,0,1
303,16612.2732,46538.56653,9942.566602,0,1
304,93136.48466,41980.30114,2711.774332,1,0
305,99209.17427,67778.13924,1309.452071,1,0
306,49728.72788,51092.03186,3311.956533,0,0
307,78913.09236,33989.99727,7427.965548,1,0
308,67115.87587,18383.64793,4804.7228,1,0
309,56130.5903,17909.31808,2858.749861,1,0
310,24368.11343,94804.14259,4176.799731,0,0
311,19161.96389,65574.66306,3741.195489,0,1
312,54675.07356,40816.6248,5959.044182,1,0
313,75995.24726,96712.79475,830.668389,0,0
314,90119.68346,36042.9648,2415.495949,1,0
315,62866.1896,62652.5557,8824.088561,0,0
316,46155.2681,40676.47882,9998.866551,0,0
317,68928.76128,30820.89693,167.9155608,1,0
318,44150.93846,11423.66895,9451.732009,0,0
319,94169.24491,38845.70568,4712.014473,0,0
320,91263.11448,7970.871264,6044.53036,0,0
321,60522.37552,10871.66528,1957.367292,1,0
322,61733.17537,21808.57185,2561.674673,1,0
323,90010.48971,41691.08308,4544.831922,0,1
324,7284.919217,10220.52221,2722.36362,1,0
325,71634.13043,91664.06885,7432.024899,1,0
326,61012.30257,35504.70898,8114.15006,1,1
327,43244.59309,26218.79098,6067.72595,0,0
328,58011.37401,72299.28916,3113.238829,1,0
329,42755.78067,26627.69337,3435.501897,0,0
330,19362.3706,88338.74814,5519.119805,0,0
331,7593.820428,81369.00825,8829.799884,1,0
332,36785.68009,92307.65285,1988.917056,0,0
333,13001.55071,5135.451901,7222.707764,1,0
334,52320.94879,96528.35018,3060.237371,1,0
335,64957.83508,39674.60989,6173.413828,0,0
336,37177.97896,19732.70409,5338.840296,1,0
337,30455.75107,36864.12058,1309.412289,0,1
338,54598.6625,52520.89966,7912.03888,1,0
339,79785.41375,16714.43044,6260.993759,1,0
340,73028.23003,52430.28437,9758.304343,1,1
341,78740.88387,69517.16101,1823.232785,0,0
342,25207.57499,90593.26227,390.5929238,0,0
343,29829.45231,41618.13791,9509.312826,1,1
344,15143.11458,38007.80383,787.0819707,1,1
345,43911.16935,26935.92275,1419.513102,1,1
346,8135.580541,57772.43505,5367.344254,1,1
347,65644.99527,84213.41767,6522.368151,0,0
348,36341.60524,78730.36267,7748.763765,1,1
349,43576.68171,68050.74754,5720.139537,1,0
350,93427.61888,84180.61463,4307.139477,1,0
351,37119.67158,50801.4654,105.6354732,0,1
352,34598.32656,875.0384966,1401.097406,1,0
353,68979.99956,29183.26211,3713.298592,0,0
354,13255.41058,58008.21356,2275.164059,1,1
355,28952.13702,97766.54143,5561.51405,1,0
356,88029.00949,18690.30826,3082.495481,1,0
357,10200.32706,61264.92095,1008.606463,1,1
358,14219.46748,83302.96262,2285.284995,1,0
359,69428.28648,74198.50273,7697.291199,0,0
360,82529.34426,99987.15903,9997.892977,0,1
361,34008.23615,97859.56921,4165.571574,0,0
362,78869.84928,23032.93888,8938.83768,1,0
363,32465.19342,5575.898497,9877.523138,1,0
364,95570.15577,55724.35062,9654.009182,1,0
365,11034.66416,33713.95131,6092.83624,1,1
366,30382.42971,50919.40064,7299.523935,1,1
367,8151.232728,75287.29953,8725.7612,1,0
368,87120.67046,61363.5184,288.5858714,1,0
369,61296.86104,54653.6059,7234.019851,1,1
370,88717.40239,54144.95865,3462.481213,1,0
371,37858.84748,59655.65802,1369.736735,0,0
372,60438.75063,82498.5013,911.8792832,1,0
373,87958.92941,67917.12602,36.96263455,1,0
374,61144.36481,93855.76131,1690.646526,1,1
375,54294.54291,57831.86671,2493.160295,1,0
376,11834.41839,82784.76246,3965.149714,0,0
377,56387.54615,43019.25115,3888.353958,0,0
378,19440.9376,16286.96698,5102.892958,0,0
379,62414.41234,39377.12502,3844.302981,0,0
380,13443.73195,94899.95372,6864.139468,0,1
381,87600.71584,51809.91403,8.782988745,0,0
382,98453.47862,34845.76063,5342.42944,1,0
383,75281.35672,96765.22991,6269.964758,0,1
384,93831.94649,19035.28029,1672.568414,0,0
385,4702.137608,23036.37711,1120.217573,0,0
386,58048.88611,94283.66981,8446.273779,0,0
387,17164.68838,99497.03831,8810.613421,1,0
388,78584.84373,50847.0643,5554.914358,1,0
389,77156.29224,31667.43863,4263.574088,0,1
390,25952.30142,90180.60386,7784.259482,1,0
391,70294.49545,17772.65969,2624.205262,1,0
392,5680.415079,83220.1954,4701.643347,1,0
393,13232.22195,47865.85973,381.3576857,0,1
394,67297.8865,21041.09405,4111.239739,1,0
395,83641.8101,14385.62938,6640.481628,1,0
396,85499.57753,22840.76433,3081.81349,0,0
397,83098.50413,58184.9512,4513.624212,1,0
398,44856.98269,9803.800684,5143.846637,0,0
399,43592.18238,59103.6494,3015.236284,1,0
400,78121.94924,56339.67364,2104.828823,1,0
401,12483.57676,23799.3736,8519.521339,1,0
402,89360.93741,50717.55059,8529.76135,1,0
403,70621.35914,60626.33547,9234.296024,1,0
404,7735.72404,92173.31643,1934.426694,0,0
405,79879.48709,79622.63588,6790.574432,1,0
406,72922.49097,65748.74336,1514.314918,1,0
407,61503.55508,88074.37524,5593.768955,0,0
408,43326.15712,9422.760893,6286.218108,0,0
409,6098.474946,91586.68263,3878.468624,1,0
410,89846.95196,60774.63199,617.4798127,1,0
411,77024.96488,31529.58904,8416.926402,0,0
412,49089.70463,2418.458778,543.9259557,1,0
413,7997.906974,98426.86925,1514.4258,1,0
414,68760.40768,99067.33614,15.23150982,1,0
415,89594.52726,13555.74884,464.3989256,1,0
416,326.3727492,59654.89405,5486.497288,1,1
417,16754.73032,57311.99105,9794.600694,1,1
418,43084.86175,55860.17921,2258.592669,1,1
419,26736.60782,7516.903763,8679.682665,1,0
420,66672.04834,2734.283697,289.3888106,1,0
421,94115.86379,54991.69734,9809.810194,0,0
422,88867.96358,81076.82254,5795.953788,0,0
423,74883.72387,4502.891448,5359.5305,0,0
424,70438.5062,44724.09819,3735.399154,0,0
425,84230.61311,55859.52079,6072.943623,0,0
426,19561.50609,94420.64142,5660.349433,1,0
427,56174.32467,15585.51222,531.3344872,1,0
428,13310.01696,21288.87418,7673.1349,0,0
429,4985.654285,76605.68223,7861.883398,0,0
430,59264.35918,80989.43811,6190.938765,0,0
431,15328.82082,55095.18363,3085.60799,0,1
432,3280.234621,20958.7896,4687.960663,0,0
433,16481.63837,23305.10618,4954.921011,1,0
434,70512.51361,40445.08042,4368.946427,1,0
435,78516.46054,94894.64783,7972.040672,0,0
436,85960.97828,54507.87452,5443.177842,0,1
437,99892.09981,72481.74647,4819.561559,0,0
438,55536.42574,20415.05784,5812.295547,1,0
439,64189.93065,28084.06045,9443.961153,0,0
440,36613.73247,47019.42209,239.5062317,1,1
441,25884.94023,97434.17238,2437.162098,0,1
442,21388.00191,17237.32281,5971.486968,1,0
443,97028.23851,36317.73218,3873.723705,1,0
444,96041.4225,44969.69475,42.25373096,0,0
445,77066.07052,4058.215814,3701.68604,1,0
446,7692.930269,9345.729622,5300.37765,0,0
447,69106.44232,38476.42348,9854.70757,0,0
448,71478.52042,63324.45982,6963.771575,0,0
449,97944.94449,16190.31904,4607.222713,0,0
450,63446.65973,65392.20078,4301.806833,1,0
451,28496.75022,80510.24303,6627.514604,1,0
452,7141.525463,35277.30598,8574.693129,1,1
453,53053.06771,49491.00265,4706.031474,1,0
454,47434.48548,13422.04763,9609.237955,1,0
455,50595.85115,7722.854091,8692.24648,0,0
456,1976.475193,6327.8596,5407.360571,1,0
457,67405.2112,52386.39391,8298.27354,0,1
458,71515.06392,83871.05291,2633.505669,1,0
459,2567.058039,10900.37199,6711.354914,1,1
460,14265.62581,14905.97111,4052.198821,1,0
461,50279.60618,53099.3588,967.7390067,1,0
462,49596.48977,46084.59856,1129.895013,1,0
463,43513.15133,1739.540586,7871.224465,0,0
464,98663.50727,76029.70678,3844.135514,1,0
465,57817.69762,5660.62604,1250.393852,1,0
466,46134.31154,43004.53406,1732.122406,0,0
467,36861.83213,54221.31524,718.7132706,1,0
468,49357.60676,46701.24779,4308.06848,1,0
469,66456.92827,80969.16809,4674.702294,1,0
470,12344.60492,91333.16706,2074.483642,1,0
471,48605.77212,8225.539871,7288.746295,1,0
472,77449.84255,90802.65809,3272.671868,0,0
473,56441.81541,2275.952762,1108.949351,1,0
474,44922.47921,74943.64089,3431.484479,1,0
475,75924.32293,31860.51542,8149.666753,1,0
476,65284.46716,45506.44876,2989.085706,1,1
477,91683.56727,91098.88176,6388.975778,1,0
478,92341.63234,12979.74697,6289.920121,0,0
479,77965.23334,98454.77163,927.7909102,1,0
480,51100.47286,34939.13087,9026.536665,0,0
481,79678.96376,38669.14017,4006.281381,1,0
482,32847.40319,74077.09367,6121.354786,1,0
483,81940.72374,41552.86529,2835.934937,0,0
484,4346.592161,39769.67816,9838.250798,0,1
485,76763.63882,63601.13263,4761.696421,1,0
486,81127.65372,15736.34496,1887.659315,1,0
487,19647.41084,1627.275693,2936.117956,1,0
488,80275.83181,28063.42602,4844.287163,0,0
489,99305.58598,6483.016166,6674.522528,1,0
490,51066.86851,9015.248922,9684.829146,0,0
491,88672.11705,23181.69353,4986.33068,0,0
492,8089.290284,60927.94967,8228.281386,1,1
493,93761.5862,15266.78982,4377.171004,1,0
494,95665.79334,72517.57556,4661.744454,0,0
495,32150.27766,73559.89826,5347.729373,0,0
496,36111.15544,38936.58694,5136.434175,0,0
497,95036.63385,63407.54087,4415.399835,0,1
498,4742.264918,97252.26976,1473.868888,0,1
499,50818.86186,36624.47452,6550.560301,0,0
500,88699.64228,33756.40483,1455.582222,0,0
501,91679.40121,57969.38391,5146.985757,1,0
502,40340.50821,29925.63109,6133.310108,0,0
503,11392.96074,56973.01824,4097.858018,1,1
504,47125.0847,4399.451088,5150.434142,0,0
505,6997.395085,71842.27216,8913.974651,0,1
506,27388.62945,58657.65473,2807.726248,1,1
507,47445.29255,32508.03231,6706.138729,1,0
508,92732.14261,75383.06374,6004.92048,0,0
509,20157.73948,63389.16879,1462.124117,1,1
510,23133.96052,10066.4552,2154.072937,1,0
511,15333.70565,91725.51865,2506.592384,0,1
512,37262.73796,4330.389503,4486.107458,0,0
513,72166.58669,50675.55985,9904.337344,1,0
514,89266.06586,6479.928555,4330.77332,1,0
515,60914.94752,83682.11872,6009.291786,1,0
516,71578.08049,96960.89262,5955.921918,0,1
517,98606.20758,77425.41043,4154.078778,0,0
518,92412.95644,50546.27099,3205.013844,0,0
519,37094.98229,99493.96377,1114.191755,0,0
520,70046.91504,46424.17405,2669.756037,0,0
521,9522.690647,50387.45871,3644.294488,0,1
522,61494.38018,46143.17653,8484.848528,1,0
523,96354.41061,2322.719977,8174.732136,0,0
524,43317.24211,62101.40059,7839.447276,1,0
525,56360.95748,84297.12531,6398.112725,0,0
526,73235.94694,5879.181277,7715.365909,1,0
527,2962.829478,38374.78636,659.937988,0,1
528,91587.91467,69456.94396,1899.478142,1,1
529,3443.190049,67075.26916,8462.811792,0,1
530,91334.89325,51228.95994,3206.870323,0,1
531,54434.11782,72081.56298,9390.95217,0,0
532,98454.72166,12474.36402,1910.535641,0,0
533,51583.12451,83799.82013,9278.938372,0,0
534,35768.94488,42018.1748,7304.046176,1,0
535,60923.5266,48661.17926,96.86417961,1,0
536,16775.29892,30876.51297,6137.454137,1,1
537,18774.41078,80547.7511,1161.115855,0,0
538,66600.12113,43924.54776,6343.749638,0,0
539,33074.71483,13709.37912,9289.114806,1,0
540,49180.21018,54559.29598,8034.477965,1,0
541,55341.53051,60901.67941,1123.90158,1,1
542,68834.42703,95168.49716,2207.209742,0,0
543,53736.96466,45856.16153,12.87883763,0,1
544,11772.00192,4529.072954,3834.421971,1,0
545,5144.695388,22626.68096,2053.918497,1,0
546,42132.73078,7805.611593,5875.986118,0,0
547,73892.82888,36643.31385,1840.671433,0,0
548,69199.00217,14365.58238,6786.862105,1,1
549,15999.73441,8524.091283,9090.256913,0,0
550,99602.77072,1501.347703,5905.93606,1,0
551,77730.80694,22581.68853,4404.806684,0,0
552,16074.27373,32512.62301,3649.639157,0,1
553,41223.35781,26611.71389,2537.637851,0,0
554,95797.52855,8622.597877,4831.418022,0,0
555,78885.25358,52608.44805,6102.574425,1,0
556,68011.46436,45139.37477,4920.05832,1,1
557,14167.28187,28656.29753,3176.818856,0,1
558,24333.98724,71498.53051,6467.234399,0,0
559,73751.93988,16963.0248,4508.320528,0,0
560,96841.5849,62987.10673,4667.950541,0,0
561,66726.23712,64030.65717,8825.615396,0,0
562,24965.11051,47815.74808,4893.985967,1,1
563,5313.123261,30936.50078,6654.199026,0,1
564,44291.87867,16093.8017,2587.640919,1,0
565,49424.32687,10405.90449,7427.430233,1,0
566,75105.94584,55015.60276,2785.414439,0,0
567,65884.61792,8024.425614,6685.540005,1,0
568,10412.53131,30317.59245,9396.021911,0,1
569,21051.214,64394.27063,2340.314898,1,1
570,89018.36803,80756.23384,7782.22223,1,0
571,27070.9459,34287.1498,8126.859411,0,1
572,47713.98979,90716.55842,5941.200734,0,0
573,32348.46398,33918.9977,965.8137383,0,1
574,81836.84421,92845.43323,8330.245225,1,0
575,73269.75511,14679.51187,2687.405038,1,0
576,70949.22957,91944.01067,4588.131196,0,0
577,42935.30188,89974.59007,4374.183634,0,0
578,11378.17265,51578.64621,8507.549318,0,1
579,12858.67781,93062.85713,4759.692384,1,0
580,69013.29429,24758.71214,7807.299956,0,0
581,46532.84506,64957.24241,2084.10369,0,0
